crop,,residual
chickpea,count,1842.0
chickpea,mean,195.39448889186664
chickpea,std,180.39544973896304
chickpea,min,0.283050537109375
chickpea,25%,61.959836425781276
chickpea,50%,146.46632202148436
chickpea,75%,273.74316284179685
chickpea,max,1611.7054345703127
cotton,count,1004.0
cotton,mean,136.37176271537385
cotton,std,161.53390954312053
cotton,min,0.052236328124990905
cotton,25%,57.58364166259767
cotton,50%,116.52522949218749
cotton,75%,181.79608673095703
cotton,max,2495.137003173828
maize,count,1869.0
maize,mean,607.8079962716631
maize,std,695.3114323664614
maize,min,0.019477539062563665
maize,25%,196.6588134765625
maize,50%,413.20843261718755
maize,75%,731.4171142578125
maize,max,7294.56345703125
rice,count,1939.0
rice,mean,396.0549489848081
rice,std,341.5736855823383
rice,min,0.047192382812454525
rice,25%,147.41161621093755
rice,50%,312.5826220703125
rice,75%,536.3795849609374
rice,max,2907.217709960937
